product_id,cnt,min_price,max_price,product_category_name_english,title,image_url,ebay_item_id
5f504b3a1c75b73d6151be81eb05bdc9,63,572.0,642.3,cool_stuff,No title,No image URL,No itemId
4473f3e5c65952b074ef987fa5c24662,17,27.99,29.99,telephony,NEW High-Quality Clock Spring Fit For 2008-2011 NISSAN ROGUE 2.5L B5567-CB66A,https://i.ebayimg.com/images/g/Y7kAAOSwz2xlvNCZ/s-l225.jpg,v1|176219681687|0
f4d705aa95ccca448e5b0deb6e5290ba,27,24.9,24.9,bed_bath_table,No title,No image URL,No itemId
bbaef2eadf31fe3ea6702077398be06c,66,56.99,56.99,perfumery,No title,No image URL,No itemId
0e40b1ed4cfd3da1962ec91913e54ba8,15,13.65,13.65,electronics,No title,No image URL,No itemId
98190f6a2c3253d07ca86525bb238162,16,72.0,79.9,electronics,Nintendo Game Boy Advance SP Handheld System Flame Red (no charger),https://i.ebayimg.com/images/g/EiQAAOSwvVFmu6nO/s-l225.jpg,v1|335529911740|0
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,25,94.99,99.99,toys,No title,No image URL,No itemId
a1bf559ac1eab015ba992bd76d9d76c7,22,19.9,27.9,computers_accessories,Cooling Fan Dual Ball Bearings Ac Plug 110Volts Computers Accessories Power New,https://i.ebayimg.com/images/g/QdYAAOSwU81kiIHx/s-l225.jpg,v1|204366387134|0
78119fbfa709d07b86f5ccf15043c6d6,19,181.0,199.98,cool_stuff,No title,No image URL,No itemId
3c883b9d3fd2d0ce448d4136349dc0a4,20,49.0,59.99,bed_bath_table,No title,No image URL,No itemId
c6336fa91fbd87c359e44f5dca5a90ed,92,39.0,49.9,sports_leisure,Mens Sports Leisure Pants Multi Pocket Lacing Solid Color Men's Loose Work Pants,https://i.ebayimg.com/images/g/NDsAAOSw3YBmTTPo/s-l225.jpg,v1|126495895605|427534414590
2e511b5741ab14e7f5294df6f1310b03,18,110.0,136.0,computers_accessories,Megahouse - Haikyu Look Up Ser Hajime & Toru Mini Figure 2pc Set with Gift (Net),https://i.ebayimg.com/images/g/NtAAAOSwQKRmogqh/s-l225.jpg,v1|395149251549|0
2029248294c186017ecfc48cecd47bbd,23,126.99,129.99,garden_tools,No title,No image URL,No itemId
e24f73b7631ee3fbb2ab700a9acaa258,18,99.0,142.0,fashion_bags_accessories,Leather Business Bags For Men Fashion Bags & Accessories Messenger Bag Cosmo,https://i.ebayimg.com/images/g/WA4AAOSwDDxiX-5a/s-l225.jpg,v1|275279559272|0
11dc4053871ff53ff79fb1fc7e6b160f,18,99.0,99.0,sports_leisure,No title,No image URL,No itemId
0bb7cb61f1957f79dac582ab66ccdc1f,28,23.9,23.9,housewares,No title,No image URL,No itemId
334995514673fb6bae67885458b52984,15,13.99,19.0,housewares,"Eeyore Winnie the Pooh ""Rest Here"" Ceramic Spoon Rest",https://i.ebayimg.com/images/g/HtwAAOSwArVmhW9k/s-l225.jpg,v1|375518782795|0
6a23ae3187f1dac41b7210a8c7739d6b,27,32.99,38.4,furniture_decor,Vintage 1960s MCM Room Interior Furniture Decor MOD Color Red Hue Snapshot PHOTO,https://i.ebayimg.com/images/g/NvgAAOSw3VVg76jT/s-l225.jpg,v1|375585250720|0
593236d0ff46b4299b4787fb8d43f7f0,37,69.0,79.0,industry_commerce_and_business,"The Software Industry: Economic Principles, Strategies, Perspectives (Paperback",https://i.ebayimg.com/images/g/GtQAAOSwby9miCjb/s-l225.jpg,v1|386194216993|0
386486367c1f9d4f587a8864ccb6902b,57,105.9,119.9,bed_bath_table,No title,No image URL,No itemId
0eb8e03d4ef83152c4642b606b5bbdec,23,29.99,39.99,furniture_decor,"NEW Hokus Pokus ""It's Time""  Furniture Decor Transfer RETIRED",https://i.ebayimg.com/images/g/9M4AAOSwkflmDKEl/s-l225.jpg,v1|196326194757|0
33202a8e7a645388c41ed714203d7131,17,149.9,149.9,food,No title,No image URL,No itemId
f7740e5b4337a3cc4a8a204553101a85,17,485.9,599.65,health_beauty,No title,No image URL,No itemId
53b36df67ebb7c41585e8d54d6772e08,320,99.9,179.9,watches_gifts,Talis Mens Luxury Fashion Watches - Gifts for Men,https://i.ebayimg.com/images/g/09wAAOSwBdNjjkBK/s-l225.jpg,v1|334630691340|543758473107
4a0c2a56e65c941a0bb9874c47dd66d8,19,59.99,84.99,bed_bath_table,No title,No image URL,No itemId
036734b5a58d5d4f46b0616ddc047ced,45,27.99,44.99,telephony,"Grandstream GS-HT802 2 Port Analog Telephone Adapter VoIP Phone & Device, Black",https://i.ebayimg.com/images/g/cEQAAOSwKIlgze4p/s-l225.jpg,v1|255022550928|0
2eb9b2ef7c1da3c7b99702452ea4729f,17,89.9,99.0,tablets_printing_image,No title,No image URL,No itemId
ace5d86cf1ac63cdb76f49e5cd23d2f8,27,45.8,50.9,furniture_decor,"Set Of 6 Drawer Pulls 4/1/2"" Pine Cone & Needles Western Home Furniture Decor",https://i.ebayimg.com/images/g/gG8AAOSwWCtmNVeD/s-l225.jpg,v1|186438897293|0
c857b96593773e940454e76efa8eabb3,52,50.1,59.9,furniture_decor,Black Open Storage Shelving Home Furniture Decor Shelf Coffee Tea Table Durable,https://i.ebayimg.com/images/g/b4oAAOSwD31kzJGD/s-l225.jpg,v1|225708025903|0
a8115d34a4b7b74388da609692162c37,24,31.9,35.9,computers_accessories,Oceanic Battery Kit for OCS/OCI Dive Computers - Accessories (04.6175.37),https://i.ebayimg.com/images/g/qgoAAOSwoz9mND7k/s-l225.jpg,v1|375428389594|0
ea44caac707f7f1325182a538007f838,63,50.0,52.0,baby,Oso & Me Baby Organic Everyday Clothing Set Pink,https://i.ebayimg.com/images/g/W6gAAOSw13tllutB/s-l225.jpg,v1|335269531029|0
812f428f6757ab16c46cffc68f2e90c5,22,59.8,59.8,furniture_decor,No title,No image URL,No itemId
31a2f42a87890f87d77daebdfabc182e,42,129.9,149.9,toys,No title,No image URL,No itemId
a8d952e8e5436a6fe36d24c402d100de,16,21.99,21.99,telephony,Antique  telephone handset cord cloth covered WE AE like Original brown round,https://i.ebayimg.com/images/g/r6UAAMXQiM5Q9OtH/s-l225.jpg,v1|200966174534|0
2bb3e85f2a403543fdb64e266e70c792,16,299.9,387.9,toys,No title,No image URL,No itemId
6e1b14d3cbb5fb3a2c00351007127dfd,19,219.99,239.99,cool_stuff,No title,No image URL,No itemId
